,genre_name,id,vote_average,popularity,pal_intensity_1,pal_intensity_2,pal_intensity_3,pal_intensity_4,pal_intensity_5,avg_red,avg_blue,avg_green
23,Comedy,19905,5.5,0.445351,765,0,308,306,303,194.0,80.400000000000006,62.0
24,Romance,9976,5.1,0.50639,27,24,30,33,21,9.0,9.0,9.0
25,Thriller,16167,5.7,0.447775,56,55,52,59,58,45.0,5.0,6.0
26,Comedy,9296,5.5,0.483664,280,277,283,280,283,45.799999999999997,100.59999999999999,134.19999999999999
27,Thriller,209901,4.6,2.660175,765,762,759,756,753,253.0,253.0,253.0
28,Comedy,16406,5.7,0.514398,732,1,735,551,0,123.40000000000001,136.59999999999999,143.80000000000001
29,Action,139567,5.6,0.844085,3,0,765,6,35,54.200000000000003,54.0,53.600000000000001
30,Drama,259611,6.2,0.925623,754,66,756,69,749,154.80000000000001,162.19999999999999,161.80000000000001
31,Comedy,24478,4.6,0.929736,765,42,753,30,39,108.40000000000001,108.8,108.59999999999999
32,Drama,10360,7.1,1.60372,41,38,39,42,44,13.4,13.0,14.4
33,Comedy,13258,6.7,0.468833,765,762,759,756,751,253.0,253.0,252.59999999999999
34,Animation,13190,6.0,0.683681,0,725,3,6,1,51.600000000000001,49.799999999999997,45.600000000000001
35,Romance,174316,5.4,1.214341,386,663,670,396,678,185.40000000000001,191.80000000000001,181.40000000000001
36,Drama,324744,6.0,0.208739,746,743,749,740,645,249.59999999999999,244.19999999999999,230.80000000000001
37,Thriller,8461,6.2,2.089205,0,3,3,1,4,1.6000000000000001,0.20000000000000001,0.40000000000000002
38,Thriller,55779,5.9,2.179686,0,3,6,9,12,2.0,2.0,2.0
39,Action,308529,4.5,1.211263,765,762,0,759,763,203.40000000000001,203.40000000000001,203.0
40,Comedy,243938,4.9,0.768824,765,536,286,283,764,237.40000000000001,161.59999999999999,127.8
41,Romance,10922,6.1,1.188925,58,61,55,66,64,14.800000000000001,13.6,32.399999999999999
42,Action,23488,5.8,1.198172,37,35,36,39,34,9.8000000000000007,1.2,25.199999999999999
43,Thriller,3597,5.5,1.723225,0,2,3,1,765,51.200000000000003,51.399999999999999,51.600000000000001
44,Romance,37080,6.7,0.971401,755,15,756,753,765,203.80000000000001,204.40000000000001,200.59999999999999
45,Drama,4548,7.0,0.433352,72,75,69,78,79,23.800000000000001,25.600000000000001,25.199999999999999
46,Comedy,244403,7.3,0.457518,765,762,759,0,756,202.80000000000001,202.80000000000001,202.80000000000001
47,Action,346651,4.3,0.81298,765,762,0,753,756,202.40000000000001,202.40000000000001,202.40000000000001
48,Animation,11651,5.1,0.53216,2,4,50,47,53,7.7999999999999998,10.4,13.0
49,Action,40016,2.1,0.028132,468,765,471,465,571,151.59999999999999,188.19999999999999,208.19999999999999
